LngtClass,Year
2900,01/01/1993
3100,01/01/1993
1900,01/01/1993
2000,01/01/1993
3300,01/01/1993
2000,01/01/1993
2900,01/01/1993
6800,01/01/1993
4400,01/01/1993
3800,01/01/1993
4300,01/01/1993
4600,01/01/1993
2000,01/01/1993
3600,01/01/1993
3800,01/01/1993
4200,01/01/1993
3300,01/01/1993
3300,01/01/1993
3300,01/01/1993
2200,01/01/1993
2200,01/01/1993
3100,01/01/1993
5000,01/01/1993
4700,01/01/1993
4700,01/01/1993
2700,01/01/1993
2800,01/01/1993
2900,01/01/1993
2400,01/01/1993
2500,01/01/1993
2600,01/01/1993
2800,01/01/1993
2400,01/01/1993
2600,01/01/1993
2800,01/01/1993
2900,01/01/1993
2600,01/01/1993
4200,01/01/1993
2100,01/01/1993
2800,01/01/1993
3100,01/01/1993
3800,01/01/1993
3900,01/01/1993
4200,01/01/1993
2300,01/01/1993
2500,01/01/1993
2600,01/01/1993
2700,01/01/1993
9000,01/01/1993
34,01/01/1994
4000,01/01/1994
3900,01/01/1994
6100,01/01/1994
5700,01/01/1994
6100,01/01/1994
1000,01/01/1994
2200,01/01/1994
2300,01/01/1994
2600,01/01/1994
2000,01/01/1994
2200,01/01/1994
2300,01/01/1994
2600,01/01/1994
6200,01/01/1994
2200,01/01/1994
2600,01/01/1994
2900,01/01/1994
2800,01/01/1994
5500,01/01/1994
7400,01/01/1994
5400,01/01/1994
5600,01/01/1994
4500,01/01/1994
2600,01/01/1994
4200,01/01/1994
2700,01/01/1994
6000,01/01/1994
3200,01/01/1994
4000,01/01/1994
4200,01/01/1994
5400,01/01/1994
6200,01/01/1994
4600,01/01/1994
2600,01/01/1994
3000,01/01/1994
2900,01/01/1994
5600,01/01/1994
3900,01/01/1994
7500,01/01/1994
3900,01/01/1994
4600,01/01/1994
2600,01/01/1994
3100,01/01/1994
2000,01/01/1994
3000,01/01/1994
3000,01/01/1994
4200,01/01/1994
3600,01/01/1994
9200,01/01/1994
2500,01/01/1994
2700,01/01/1994
4400,01/01/1994
3800,01/01/1994
2900,01/01/1994
2400,01/01/1994
2500,01/01/1994
5700,01/01/1994
4100,01/01/1994
2700,01/01/1994
2500,01/01/1994
2700,01/01/1994
2800,01/01/1994
3200,01/01/1994
2200,01/01/1994
2500,01/01/1994
2700,01/01/1994
2900,01/01/1994
3000,01/01/1994
2100,01/01/1994
3700,01/01/1994
4800,01/01/1994
5100,01/01/1994
5600,01/01/1994
5800,01/01/1994
6800,01/01/1994
7700,01/01/1994
2200,01/01/1994
2300,01/01/1994
3400,01/01/1994
3700,01/01/1994
4000,01/01/1994
5100,01/01/1994
7100,01/01/1994
4600,01/01/1994
3200,01/01/1994
4500,01/01/1994
5300,01/01/1994
4200,01/01/1994
5200,01/01/1994
5700,01/01/1994
2900,01/01/1994
4900,01/01/1994
4000,01/01/1994
4200,01/01/1994
4300,01/01/1994
4600,01/01/1994
5900,01/01/1994
3400,01/01/1994
2300,01/01/1994
4800,01/01/1994
5700,01/01/1994
5800,01/01/1994
1500,01/01/1994
3800,01/01/1994
5200,01/01/1994
2600,01/01/1994
4400,01/01/1994
2800,01/01/1994
2300,01/01/1994
5500,01/01/1994
2500,01/01/1994
7500,01/01/1994
4200,01/01/1994
6700,01/01/1994
4800,01/01/1994
3800,01/01/1994
5900,01/01/1994
4500,01/01/1994
